model_name,num_layers,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mean_ECS,std_ECS,mean_NMI,std_NMI,mean_cluster_ratio,std_cluster_ratio,total_runs
diffpool,2,False,0.2,500,0.01,,1.0,1.0,0.5427494534400278,0.15495531160417975,0.6973325381320361,0.1461804954704049,0.16091954022988506,0.035890793094243666,3
diffpool,2,False,0.5,500,0.001,,1.0,0.5,0.54208163861491,0.22340552773509922,0.7233411908920179,0.15526526791726925,0.1379310344827586,0.045616401914906755,3
diffpool,2,False,0.0,500,0.005,,1.0,1.0,0.5368434698865682,0.07533785614822354,0.7384077952134293,0.08967064466074319,0.19540229885057472,0.03981725994411212,3
diffpool,2,False,0.5,200,0.001,,1.0,1.0,0.5361016468052727,0.10494712303679019,0.7209887053088444,0.10760230691397508,0.132183908045977,0.019908629972056033,3
diffpool,2,True,0.0,500,0.01,,1.0,0.5,0.5341117385833427,0.10111384249470338,0.7533784417356207,0.04877478398151396,0.13793103448275856,0.029862944958084104,3
diffpool,2,False,0.5,500,0.005,,1.0,1.0,0.5294136483392803,0.14133442886693404,0.7482312581451,0.10920065886147554,0.12068965517241374,0.029862944958084094,3
diffpool,2,False,0.5,500,0.001,,1.0,0.1,0.5290708312553941,0.014304003434347675,0.7507798360604528,0.00478789430596015,0.1264367816091954,0.00995431498602801,3
diffpool,2,False,0.0,200,0.005,,1.0,0.1,0.5232913763553618,0.08538777126936431,0.7268984623444172,0.08745667181552035,0.15517241379310343,0.017241379310344848,3
diffpool,2,False,0.5,500,0.005,,1.0,0.5,0.5174135850579136,0.172807524605525,0.7333918151325195,0.1383573499714814,0.1264367816091954,0.04338985307626871,3
diffpool,2,False,0.0,200,0.005,,1.0,1.0,0.5147674350755055,0.3296788683369302,0.6332683001468601,0.30860968646457887,0.20114942528735627,0.07774568539349815,3
diffpool,2,True,0.0,200,0.01,,1.0,1.0,0.5108549786547374,0.15609822783621696,0.7180383579568663,0.09574783521924367,0.1379310344827586,0.045616401914906755,3
diffpool,2,False,0.0,500,0.005,,1.0,0.5,0.5058895111763511,0.010912768651606003,0.7241105641696223,0.032791335227012275,0.18965517241379307,0.0,3
diffpool,2,False,0.5,500,0.01,,1.0,1.0,0.5031976605537366,0.16266034374944524,0.7121366438419271,0.15046655076061297,0.12643678160919536,0.026336641925033565,3
diffpool,2,False,0.2,200,0.01,,1.0,0.1,0.5006817183655152,0.06845885467784833,0.7378661550352636,0.04409653133081737,0.132183908045977,0.009954314986028008,3
diffpool,2,False,0.2,200,0.001,,1.0,1.0,0.49410510346444053,0.16995216419205228,0.6686727882850424,0.146101562702194,0.1436781609195402,0.009954314986028018,3
diffpool,2,False,0.2,500,0.01,,1.0,0.5,0.4886381509336843,0.17836867958049885,0.6976645102467139,0.20047075587515817,0.14942528735632182,0.02633664192503356,3
diffpool,2,True,0.2,500,0.005,,1.0,0.5,0.4660718228627549,0.1182746303868305,0.7051846800932,0.08249308451585036,0.10344827586206896,0.029862944958084104,3
