config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
25,mincut,1,32,False,0.5,200,0.005,0.1,,,0.01,5,1000,60,7,2,2500001,0.6701428175566765,0.8873728969637306,12,8,0.6666666666666666,-0.9241873025894165,1.458510160446167
25,mincut,1,32,False,0.5,200,0.005,0.1,,,0.01,5,1000,60,7,3,2500002,0.8333028571428571,0.9507523985030818,12,10,0.8333333333333334,-0.9339366555213928,1.43215012550354
26,mincut,1,32,False,0.5,200,0.005,0.5,,,0.01,5,1000,60,7,1,2600000,1.0,1.0,12,12,1.0,-0.94318026304245,1.461367130279541
26,mincut,1,32,False,0.5,200,0.005,0.5,,,0.01,5,1000,60,7,2,2600001,1.0,1.0,12,12,1.0,-0.9445182085037231,1.4372220039367676
26,mincut,1,32,False,0.5,200,0.005,0.5,,,0.01,5,1000,60,7,3,2600002,1.0,1.0,12,12,1.0,-0.9415249824523926,1.4525911808013916
27,mincut,1,32,False,0.5,200,0.005,1.0,,,0.01,5,1000,60,7,1,2700000,1.0,1.0,12,12,1.0,-0.9095365405082703,1.4269509315490723
27,mincut,1,32,False,0.5,200,0.005,1.0,,,0.01,5,1000,60,7,2,2700001,1.0,1.0,12,12,1.0,-0.9041253924369812,1.4614901542663574
27,mincut,1,32,False,0.5,200,0.005,1.0,,,0.01,5,1000,60,7,3,2700002,1.0,1.0,12,12,1.0,-0.9106166362762451,1.4358229637145996
28,mincut,1,32,False,0.5,200,0.01,0.1,,,0.01,5,1000,60,7,1,2800000,0.6764039566730687,0.9000284107612628,12,8,0.6666666666666666,-0.9211585521697998,1.4705252647399902
28,mincut,1,32,False,0.5,200,0.01,0.1,,,0.01,5,1000,60,7,2,2800001,0.5738784869248339,0.8077736878614974,12,7,0.5833333333333334,-0.9178464412689209,1.442748785018921
28,mincut,1,32,False,0.5,200,0.01,0.1,,,0.01,5,1000,60,7,3,2800002,0.681007151640792,0.9011156512341845,12,8,0.6666666666666666,-0.9262198805809021,1.4567010402679443
29,mincut,1,32,False,0.5,200,0.01,0.5,,,0.01,5,1000,60,7,1,2900000,1.0,1.0,12,12,1.0,-0.9443576335906982,1.4380149841308594
29,mincut,1,32,False,0.5,200,0.01,0.5,,,0.01,5,1000,60,7,2,2900001,1.0,1.0,12,12,1.0,-0.94139564037323,1.452253818511963
29,mincut,1,32,False,0.5,200,0.01,0.5,,,0.01,5,1000,60,7,3,2900002,1.0,1.0,12,12,1.0,-0.9436013102531433,1.4309449195861816
30,mincut,1,32,False,0.5,200,0.01,1.0,,,0.01,5,1000,60,7,1,3000000,1.0,1.0,12,12,1.0,-0.9017893075942993,1.4519479274749756
30,mincut,1,32,False,0.5,200,0.01,1.0,,,0.01,5,1000,60,7,2,3000001,1.0,1.0,12,12,1.0,-0.9024518132209778,1.4262969493865967
30,mincut,1,32,False,0.5,200,0.01,1.0,,,0.01,5,1000,60,7,3,3000002,1.0,1.0,12,12,1.0,-0.9060170650482178,1.461148977279663
31,mincut,1,32,False,0.5,500,0.005,0.1,,,0.01,5,1000,60,7,1,3100000,0.49938607735401846,0.8125552029523394,12,6,0.5,-0.9094896912574768,3.52923321723938
31,mincut,1,32,False,0.5,500,0.005,0.1,,,0.01,5,1000,60,7,2,3100001,0.5903629022067911,0.8391920110262268,12,7,0.5833333333333334,-0.9185214042663574,3.7053558826446533
31,mincut,1,32,False,0.5,500,0.005,0.1,,,0.01,5,1000,60,7,3,3100002,0.5009459375670117,0.8245941933074878,12,6,0.5,-0.9123510718345642,3.41394305229187
32,mincut,1,32,False,0.5,500,0.005,0.5,,,0.01,5,1000,60,7,1,3200000,1.0,1.0,12,12,1.0,-0.9469284415245056,3.473680257797241
32,mincut,1,32,False,0.5,500,0.005,0.5,,,0.01,5,1000,60,7,2,3200001,1.0,1.0,12,12,1.0,-0.9443334341049194,3.464210033416748
32,mincut,1,32,False,0.5,500,0.005,0.5,,,0.01,5,1000,60,7,3,3200002,1.0,1.0,12,12,1.0,-0.9459998607635498,3.530256986618042
33,mincut,1,32,False,0.5,500,0.005,1.0,,,0.01,5,1000,60,7,1,3300000,1.0,1.0,12,12,1.0,-0.9117583632469177,3.5090579986572266
33,mincut,1,32,False,0.5,500,0.005,1.0,,,0.01,5,1000,60,7,2,3300001,1.0,1.0,12,12,1.0,-0.906442403793335,3.531365156173706
33,mincut,1,32,False,0.5,500,0.005,1.0,,,0.01,5,1000,60,7,3,3300002,1.0,1.0,12,12,1.0,-0.9073836803436279,3.551077127456665
34,mincut,1,32,False,0.5,500,0.01,0.1,,,0.01,5,1000,60,7,1,3400000,0.6743108945702845,0.8994206172877456,12,8,0.6666666666666666,-0.9258345365524292,3.5783820152282715
34,mincut,1,32,False,0.5,500,0.01,0.1,,,0.01,5,1000,60,7,2,3400001,0.6747772124656134,0.8897675275685212,12,8,0.6666666666666666,-0.925011396408081,3.873469829559326
34,mincut,1,32,False,0.5,500,0.01,0.1,,,0.01,5,1000,60,7,3,3400002,0.7280368802989848,0.8855692078727899,12,9,0.75,-0.9369450211524963,3.6365950107574463
35,mincut,1,32,False,0.5,500,0.01,0.5,,,0.01,5,1000,60,7,1,3500000,1.0,1.0,12,12,1.0,-0.9471741914749146,3.5142340660095215
